Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
685c6ad6a3bc91461e7e5b33,683e13af41f9dc72801b4751,APPROVED,Not Applicable,2025-06-25T21:32:18.266000Z,2025-06-25T21:37:06.417000Z,2025-06-25T21:37:07.117000Z,2025-06-25T21:37:06.928199Z,289.0,CD19V2FV,247,English,18,Male,White,United States,United States,United States,English,No,Part-Time
685c6ad7d08d35e8e446ccdc,610789b24bd91160b2358b12,APPROVED,Not Applicable,2025-06-25T21:32:10.758000Z,2025-06-25T21:34:56.538000Z,2025-06-25T21:34:58.728000Z,2025-06-25T21:34:57.083751Z,166.0,CD19V2FV,194,English,29,Female,White,United States,United States,United States,English,No,Full-Time
685c6ae3a5cda6dedc56a873,5c3a865019ceb400010c914a,APPROVED,Not Applicable,2025-06-25T21:32:23.761000Z,2025-06-25T21:34:38.289000Z,2025-07-01T17:14:45.814000Z,2025-06-25T21:34:38.771067Z,135.0,CD19V2FV,8277,English,46,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
685c6ae85bc829cbaecc6293,59dc4083ae9f950001d83b4b,APPROVED,Not Applicable,2025-06-25T21:32:29.103000Z,2025-06-25T21:35:07Z,2025-06-25T21:35:09.605000Z,2025-06-25T21:35:07.565785Z,158.0,CD19V2FV,6209,English,52,Female,White,United States,United States,United States,English,No,Full-Time
685c6afc0bc5c3dae52156cc,63b6be87ead45e4fa772fbf5,APPROVED,Not Applicable,2025-06-25T21:32:49.158000Z,2025-06-25T21:38:00.481000Z,2025-06-25T21:38:06.234000Z,2025-06-25T21:38:01.074388Z,312.0,CD19V2FV,7060,English,41,Female,White,United States,United States,United States,English,No,Full-Time
685c6b0112fffbbec28adb30,67411aa0172afbb200bd2c59,APPROVED,Not Applicable,2025-06-25T21:32:53.511000Z,2025-06-25T21:36:48.821000Z,2025-06-25T21:36:54.520000Z,2025-06-25T21:36:49.382150Z,236.0,CD19V2FV,2524,English,24,Female,White,United States,United States,United States,English,Yes,Full-Time
685c6b04e6a4e4ce14689bae,67d36708a7ca7a13dbc0bce1,APPROVED,Not Applicable,2025-06-25T21:32:58.585000Z,2025-06-25T21:36:48.187000Z,2025-06-25T21:36:51.440000Z,2025-06-25T21:36:48.739405Z,230.0,CD19V2FV,906,English,39,Female,Mixed,United States,United States,United States,English,No,Other
685c6b0a35cea1219685b615,66b667de65277bba9a2d1113,APPROVED,Not Applicable,2025-06-25T21:33:03.973000Z,2025-06-25T21:35:43.298000Z,2025-06-25T21:35:46.704000Z,2025-06-25T21:35:43.791561Z,160.0,CD19V2FV,47,English,32,Female,White,Ireland,Canada,Ireland,English,No,Full-Time
685c6b102b0820d14f2c4062,6849c53479aeffe9831909c9,APPROVED,Not Applicable,2025-06-25T21:33:34.758000Z,2025-06-25T21:38:26.888000Z,2025-06-25T21:38:27.534000Z,2025-06-25T21:38:27.438208Z,293.0,CD19V2FV,113,English,23,Female,White,United States,United States,United States,English,Yes,Part-Time
685c6b1d2b00a0061cf4344a,683e55b53f3000fc4f246147,APPROVED,Not Applicable,2025-06-25T21:33:54.604000Z,2025-06-25T21:41:57.096000Z,2025-06-25T21:41:59.199000Z,2025-06-25T21:41:57.885731Z,483.0,CD19V2FV,281,English,35,Female,White,United States,United States,United States,English,No,Part-Time
685c6b2293863f1d4b43b830,5ee92b925f0f482bb1e73668,APPROVED,Not Applicable,2025-06-25T21:33:25.910000Z,2025-06-25T21:35:50.001000Z,2025-07-01T17:14:46.116000Z,2025-06-25T21:35:50.659813Z,145.0,CD19V2FV,7197,"English, Spanish",46,Male,White,United States,United States,United States,English,No,Full-Time
685c6b245517bc8c624a126c,6858c6fe557e541851e84c0e,APPROVED,Not Applicable,2025-06-25T21:33:37.963000Z,2025-06-25T21:41:11.646000Z,2025-06-25T21:41:14.491000Z,2025-06-25T21:41:12.178413Z,454.0,CD19V2FV,105,English,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
